shortname: benhoyt_goawk-BuiltinGsubAmpersand
NewDirectedLayers,0.000141346,1%,0.000217278,1%,+53.72%,p=0.008 n=5,0.000190227,0%,+34.58%,p=0.008 n=5
geomean,0.00014134600000000004,,0.0002172780000000001,,+53.72%,,0.0001902270000000001,,+34.58%,

shortname: gonum_community-NewUndirectedLayers%2FgraphSize%3D1000%2CnumGraphs%3D10
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewUndirectedLayers,0.001729826,1%,0.0028719690000000003,0%,+66.03%,p=0.008 n=5,0.0026068750000000003,0%,+50.70%,p=0.008 n=5
geomean,0.0017298259999999994,,0.0028719689999999994,,+66.03%,,0.002606875,,+50.70%,

shortname: gonum_lapack_native-Dgeev%2FCirculant5
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Dgeev,9.05e-06,5%,5.3034e-05,1%,+486.01%,p=0.008 n=5,4.4638e-05,3%,+393.24%,p=0.008 n=5
geomean,9.050000000000005e-06,,5.303399999999995e-05,,+486.01%,,4.463799999999996e-05,,+393.24%,

shortname: gonum_mat-AddScaledVec10Inc1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
AddScaledVec10Inc1,1.962e-07,0%,2.261e-06,1%,+1052.40%,p=0.008 n=5,2.006e-06,1%,+922.43%,p=0.008 n=5
geomean,1.9620000000000002e-07,,2.2609999999999996e-06,,+1052.40%,,2.0059999999999987e-06,,+922.43%,

shortname: gonum_mat-CholeskyFactorize%2Fn%3D10
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CholeskyFactorize,3.2060000000000003e-06,0%,2.5133e-05,1%,+683.94%,p=0.008 n=5,2.057e-05,1%,+541.61%,p=0.008 n=5
geomean,3.206000000000001e-06,,2.513299999999998e-05,,+683.94%,,2.056999999999999e-05,,+541.61%,

shortname: gonum_mat-CholeskyInverseTo%2Fn%3D100
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CholeskyInverseTo,0.000278931,0%,0.0006438370000000001,0%,+130.82%,p=0.008 n=5,0.000358067,3%,+28.37%,p=0.008 n=5
geomean,0.0002789309999999998,,0.0006438370000000001,,+130.82%,,0.0003580670000000001,,+28.37%,

shortname: gonum_mat-MarshalToVecDense10
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
MarshalToVecDense10,4.5210000000000003e-07,1%,2.177e-06,1%,+381.53%,p=0.008 n=5,1.6930000000000001e-06,5%,+274.47%,p=0.008 n=5
geomean,4.521000000000001e-07,,2.1769999999999997e-06,,+381.53%,,1.693e-06,,+274.47%,

shortname: gonum_mat-Pool100by100Uncleared
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pool100by100Uncleared,1.7180000000000002e-08,7%,5.693e-08,7%,+231.37%,p=0.008 n=5,2.998e-08,0%,+74.51%,p=0.008 n=5
geomean,1.7180000000000016e-08,,5.692999999999994e-08,,+231.37%,,2.9980000000000034e-08,,+74.51%,

shortname: gonum_mat-TriMulDiag%2FBenchmarkTriMulDiag100
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
TriMulDiag,4.373e-05,0%,0.000142748,3%,+226.43%,p=0.008 n=5,0.00011527400000000001,5%,+163.60%,p=0.008 n=5
geomean,4.372999999999997e-05,,0.00014274800000000008,,+226.43%,,0.00011527400000000009,,+163.60%,

shortname: gonum_mat-UnmarshalVecDense10
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
UnmarshalVecDense10,2.5900000000000003e-07,1%,1.5610000000000002e-06,1%,+502.70%,p=0.008 n=5,1.1600000000000001e-06,4%,+347.88%,p=0.008 n=5
geomean,2.590000000000001e-07,,1.5610000000000014e-06,,+502.70%,,1.160000000000001e-06,,+347.88%,

shortname: gonum_topo-SortStabilizedPath_100000
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
